Timestamp,What week are you reporting for?,Winning Team,Winning player,Winning Player's 6 Pokemon,Losing Team,Losing player,Losing Player's 6 Pokemon,Score,Game 1 Replay (or Youtube link),Game 2 Replay (or N/A if Youtube),Game 3 Replay (or N/A if no third game or Youtube)
9/30/2022 18:35:27,Week 2,Electric - West Sea,Bob - West Sea,Cresselia / Politoed / Tapu Bulu / Escavalier / Thundurus-Therian / Incineroar,Electric - Glenville,Fliipturn - Glenville,Dragapult / Amoonguss / Urshifu-Rapid-Strike / Heatran / Rillaboom / Whimsicott,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674550727-fkl0e1wcjle7idv1yuvhlbyjmpvinz9pw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674551151-mi4swgc42zx0sdfzkmjwwdh8wg1ml3lpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674551308-t0e583q0b19yd3yqx0r2wkv47rpc1odpw
10/1/2022 10:21:39,Week 2,Electric - BYU Cougars,Dnomy - BYU Cougars,Volcarona / Rillaboom / Landorus / Tyranitar / Zapdos / Urshifu-Rapid-Strike,Electric - Texas Horns,TheBroham7  - Texas Horns,Rillaboom / Dragapult / Volcarona / Urshifu-Rapid-Strike / Clefairy / Celesteela,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674993172,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674996427,N/A
10/1/2022 11:32:53,Week 2,Electric - Texas Horns,JayDee - Texas Horns,Landorus / Urshifu-Single-Strike / Sableye / Rillaboom / Incineroar / Dracovish,Electric - BYU Cougars,bunnybird12 - BYU Cougars,Spectrier / Regidrago / Incineroar / Whimsicott / Gothitelle / Urshifu-Rapid-Strike,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675028974,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675033996,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675040693
10/1/2022 18:20:40,Week 2,Water - Cambridge,Kepler - Cambridge,Tapu Lele / Naganadel / Whimsicott / Incineroar / Urshifu-Rapid-Strike / Kartana,Water - Northeast US,Polaroid - Northeast US,Tsareena / Whimsicott / Volcarona / Regieleki / Landorus-Therian / Nihilego,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675297675-17bl5z1mkl4gzz0mk74up11enktnlezpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675298121-8ax7j3v3njfzh8z6hjtje62mzl09sdepw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675298443-uowzlow2igw70jfl57t6k7hmpuijjuipw
10/2/2022 2:25:30,Week 2,Electric - BYU Cougars,Eva - BYU Cougars,Hatterene / Indeedee-F / Torkoal / Tapu Fini / Landorus / Ferrothorn,Electric - Texas Horns,Complex - Texas Horns,Rillaboom / Celesteela / Incineroar / Regieleki / Urshifu-Rapid-Strike / Clefairy,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674343849-dct04acbqtvm852l02um8jdinstbtfppw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674347583-agycsj1fufz35hcc398a5esim3s67d4pw,N/A
10/2/2022 20:51:59,Week 2,Electric - Texas Horns,Sarbithinu - Texas Horns,Hatterene / Indeedee-F / Torkoal / Landorus / Stakataka / Rillaboom,Electric - BYU Cougars,Brare - BYU Cougars,Incineroar / Golisopod / Gothitelle / Gengar / Shedinja / Urshifu-Rapid-Strike,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676137034,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676144376,N/A
10/3/2022 8:55:35,Week 2,Water - Oxford,ClickForVictory - Oxford,Cresselia / Snorlax / Weavile / Amoonguss / Urshifu-Rapid-Strike / Heatran,Water - International,0riginalName - International,Incineroar / Gengar / Kartana / Landorus / Zapdos-Galar / Tapu Fini,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675681531,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675681659,N/A
10/3/2022 11:08:58,Week 2,Water - International,K - International,Celesteela / Tapu Fini / Tsareena / Heatran / Nidoqueen / Whimsicott,Water - Oxford,Corkers7 - Oxford,Meowstic / Milotic / Landorus-Therian / Volcarona / Shiinotic / Rillaboom,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675002416,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675003177,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675003302
10/3/2022 17:52:04,Week 3,Water - Cambridge,Jamie - Cambridge,Torkoal / Lilligant / Indeedee-F / Hatterene / Stakataka / Landorus-Therian,Water - RIT Raikous,brn - RIT Raikous,Rillaboom / Incineroar / Urshifu-Rapid-Strike / Togekiss / Nihilego / Volcarona,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676873962,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676874167,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676874441
10/6/2022 15:13:39,Week 3,Water - Northeast US,johnny - Northeast US,Incineroar / Urshifu-Rapid-Strike / Rillaboom / Landorus / Regieleki / Registeel,Water - International,200Candies - International,Urshifu-Rapid-Strike / Rillaboom / Incineroar / Nihilego / Spectrier / Amoonguss,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1679356125,https://replay.pokemonshowdown.com/gen8spikemuthcup-1679356340,N/A
